STN_ID,LON,LAT,STN_SP,HT,HT_PA,HT_TA,HT_WD,HT_RN,STN_CD,STN_KO,STN_EN,STN_AD,FCT_ID,LAW_ID,BASIN
90,128.56473,38.25085,35100.0,17.53,18.73,1.7,10.0,1.4,90.0,속초,Sokcho,11D20401,5182033035,----,
93,127.75443,37.94738,31201.0,95.78,96.78,1.5,10.0,1.4,101.0,북춘천,Bukchuncheon,11D10301,5111025024,----,
95,127.3042,38.14787,31110.0,155.48,156.98,1.8,13.0,1.5,101.0,철원,Cheorwon,11D10101,5178025624,----,
98,127.0607,37.90188,22200.0,115.62,116.74,1.7,10.0,1.0,119.0,동두천,Dongducheon,11B20401,4125010300,----,
99,126.76648,37.88589,22300.0,30.59,31.99,1.7,10.0,1.0,119.0,파주,Paju,11B20305,4148025025,----,
100,128.71834,37.67713,35400.0,772.43,773.43,1.7,10.0,1.4,100.0,대관령,Daegwallyeong,11D20201,5176038024,----,
101,127.7357,37.90262,31210.0,75.82,77.05,1.5,10.0,1.4,101.0,춘천,Chuncheon,11D10301,5111011800,----,
102,124.71237,37.97396,21101.0,36.0,37.2,1.8,9.0,1.2,102.0,백령도,Baengnyeongdo,11A00101,2872033021,----,
104,128.85535,37.80456,35201.0,75.24,76.67,1.7,10.0,1.4,105.0,북강릉,Bukgangneung,11D20501,5115036027,----,
105,128.89099,37.75147,35300.0,27.12,28.22,1.7,10.0,0.5,105.0,강릉,Gangneung,11D20501,5115010700,----,
106,129.12433,37.50709,35500.0,40.46,41.66,1.7,10.0,1.4,106.0,동해,Donghae,11D20601,5117010400,----,
108,126.9658,37.57142,11101.0,85.67,86.67,1.5,10.0,0.5,108.0,서울,Seoul,11B10101,1111017800,----,
112,126.6249,37.47772,23201.0,68.99,70.19,1.6,10.0,1.2,112.0,인천,Incheon,11B20201,2811013700,----,
114,127.94659,37.33749,31300.0,150.11,151.11,1.7,14.0,1.4,114.0,원주,Wonju,11D10401,5113010600,----,
115,130.89863,37.48129,35601.0,221.14,223.7,1.6,10.0,1.3,115.0,울릉도,Ulleungdo,11E00101,4794025024,----,
119,126.983,37.25746,23311.0,39.81,40.81,1.6,18.7,1.1,109.0,수원,Suwon,11B20601,4111312800,----,
121,128.45743,37.18126,31400.0,240.54,242.05,1.7,10.0,1.4,121.0,영월,Yeongwol,11D10501,5175025022,----,
127,127.9525,36.97045,41400.0,114.85,116.25,1.65,10.0,1.0,131.0,충주,Chungju,11C10101,4313012200,----,
129,126.4939,36.77658,45110.0,25.25,26.55,1.6,20.2,1.1,129.0,서산,Seosan,11C20101,4421010600,----,
130,129.41278,36.99176,71100.0,48.98,50.18,1.75,10.0,1.3,136.0,울진,Uljin,11H10101,4793025023,----,
131,127.44066,36.63924,41111.0,58.7,60.1,1.7,10.0,0.8,131.0,청주,Cheongju,11C10301,4311311400,----,
133,127.3721,36.37199,45201.0,67.79,68.49,1.4,23.7,1.0,133.0,대전,Daejeon,11C20401,3020012400,----,
135,127.99458,36.22025,41300.0,244.98,246.18,1.6,10.0,1.1,131.0,추풍령,Chupungnyeong,11C10401,4374033521,----,
136,128.70733,36.57293,71311.0,141.26,142.76,1.8,10.0,1.3,136.0,안동,Andong,11H10501,4717012900,----,
137,128.15741,36.40837,71200.0,96.58,97.98,1.8,10.0,1.4,143.0,상주,Sangju,11H10302,4725011000,----,
138,129.38002,36.03201,71501.0,3.94,4.92,1.6,10.0,1.2,138.0,포항,Pohang,11H10201,4711110400,----,
140,126.76135,36.0053,51100.0,27.85,24.6,1.7,10.0,1.0,146.0,군산,Gunsan,21F10501,4513010300,----,
143,128.65296,35.87797,71401.0,54.27,55.52,1.8,10.0,0.6,143.0,대구,Daegu,11H10701,2714010300,----,
146,127.11718,35.84092,51211.0,60.44,62.9,1.6,10.0,1.4,146.0,전주,Jeonju,11F10201,4511310600,----,
152,129.33469,35.58237,75201.0,81.14,83.2,1.8,10.0,1.3,152.0,울산,Ulsan,11H20101,3111011400,----,
155,128.57282,35.17019,75301.0,34.97,39.1,1.7,10.0,1.3,155.0,창원,Changwon,11H20301,4812510100,----,
156,126.89156,35.17294,55101.0,70.28,73.9,1.7,17.5,0.8,156.0,광주,Gwangju,11F20501,2917010900,----,
159,129.03203,35.10468,75101.0,69.56,70.9,1.5,18.0,1.3,159.0,부산,Busan,11H20201,2611011600,----,
162,128.43561,34.84541,75400.0,31.24,33.2,1.5,18.0,1.3,159.0,통영,Tongyeong,11H20401,4822010900,----,
165,126.38151,34.81732,55201.0,44.7,39.2,1.5,14.5,1.0,165.0,목포,Mokpo,21F20801,4611010300,----,
168,127.74063,34.73929,55601.0,65.93,66.1,1.5,13.0,0.6,168.0,여수,Yeosu,11F20401,4613010700,----,
169,125.45105,34.68719,55401.0,75.12,78.0,1.5,15.5,0.6,169.0,흑산도,Heuksando,11F20701,4691036022,----,
170,126.70182,34.3959,55500.0,35.37,36.7,1.5,10.0,0.8,165.0,완도,Wando,11F20301,4689031022,----,
172,126.599,35.34824,51300.0,52.42,53.5,1.8,10.0,1.7,146.0,고창,Gochang,21F10601,4579038025,----,
174,127.3694,35.0204,56110.0,165.0,166.5,1.5,10.0,0.8,156.0,순천,Suncheon,11F20600,4615025025,----,
177,126.68772,36.65759,45301.0,27.74,28.7,1.5,10.0,1.5,177.0,홍성,Hongseong,11C20104,4480025625,----,
181,127.396944,36.63972,41210.0,32.0,32.0,1.5,10.0,0.5,131.0,서청주(예),Seocheongju,11C10301,4311331035,----,
184,126.52969,33.51411,61101.0,20.79,21.99,1.7,15.0,1.5,184.0,제주,Jeju,11G00201,5011010700,----,
185,126.16283,33.29382,61200.0,71.39,72.49,1.7,10.0,1.5,184.0,고산,Gosan,11G00501,5011031023,----,
188,126.8802,33.38677,61400.0,20.34,21.74,1.7,10.0,1.5,184.0,성산,Seongsan,11G00101,5013025927,----,
189,126.5653,33.24616,61311.0,51.86,53.16,1.7,10.0,1.5,184.0,서귀포,Seogwipo,11G00401,5013010100,----,
192,128.04004,35.16378,75610.0,29.35,31.6,1.8,10.0,1.3,155.0,진주,Jinju,11H20701,4817012600,----,
201,126.44634,37.70739,24100.0,47.84,49.24,1.6,10.0,0.6,112.0,강화,Ganghwa,11B20101,2871032027,----,
202,127.49446,37.48863,24200.0,47.26,48.76,1.9,10.0,0.6,119.0,양평,Yangpyeong,11B20503,4183025021,----,
203,127.48421,37.26399,24300.0,80.09,81.59,1.8,10.0,0.6,119.0,이천,Icheon,11B20701,4150025328,----,
211,128.16714,38.05986,32100.0,201.78,202.78,1.5,10.0,0.5,211.0,인제,Inje,11D10201,5181025022,----,
212,127.88043,37.6836,32200.0,140.2,141.2,1.6,13.0,0.5,101.0,홍천,Hongcheon,11D10302,5172025029,----,
216,128.98929,37.17038,36100.0,714.45,715.25,1.6,16.0,0.6,216.0,태백,Taebaek,11D20301,5119010100,----,
217,128.6459,37.38149,32300.0,307.58,309.0,1.8,10.0,0.6,217.0,정선군,Jeongseon,Gun,11D10502,5177025022,----
221,128.19433,37.15928,42200.0,264.62,265.39,1.5,10.0,0.5,131.0,제천,Jecheon,11C10201,4315011200,----,
226,127.73415,36.48761,42300.0,171.31,172.71,1.5,10.0,0.5,131.0,보은,Boeun,11C10302,4372025030,----,
232,127.29282,36.76217,46100.0,84.78,83.0,1.8,10.0,1.2,133.0,천안,Cheonan,11C20301,4413136022,----,
235,126.55744,36.32724,46200.0,9.98,17.0,1.6,10.0,1.1,133.0,보령,Boryeong,11C20201,4418010900,----,
236,126.92079,36.27242,46300.0,13.42,14.88,1.7,10.0,0.5,133.0,부여,Buyeo,11C20501,4476025033,----,
238,127.48175,36.10563,46400.0,172.69,173.99,1.5,10.0,0.5,133.0,금산,Geumsan,11C20601,4471025025,----,
239,127.24438,36.48522,45200.0,89.5,95.0,1.6,10.0,1.0,133.0,세종,sejong,11C20404,3611010800,----,
243,126.71657,35.72961,52100.0,12.2,13.5,1.8,10.0,0.6,146.0,부안,Buan,21F10602,4580033021,----,
244,127.28556,35.61203,52400.0,247.04,248.44,1.8,10.0,0.6,146.0,임실,Imsil,11F10402,4575025022,----,
245,126.83904,35.56337,52200.0,68.7,70.97,1.9,10.0,1.0,146.0,정읍,Jeongeup,11F10203,4518010800,----,
247,127.39652,35.4213,52300.0,133.49,91.8,1.7,10.0,0.7,146.0,남원,Namwon,11F10401,4519011600,----,
248,127.52031,35.65696,52500.0,406.87,408.0,1.6,10.0,0.5,146.0,장수,Jangsu,11F10301,4574025023,----,
251,126.697,35.42661,52600.0,58.84,55.5,1.7,10.0,0.6,146.0,고창군,Gochanggun,21F10601,4579025030,----,
252,126.47784,35.28366,56500.0,37.2,38.7,1.5,13.0,0.6,156.0,영광군,Yeonggwanggun,21F20102,4687034030,----,
253,128.89075,35.22981,73000.0,54.59,54.6,1.7,10.0,0.5,159.0,김해시,Gimhaesi,11H20304,4825010300,----,
254,127.1286,35.37131,52700.0,129.38,128.4,1.6,10.0,0.6,146.0,순창군,Sunchanggun,11F10403,4577025026,----,
255,128.6726,35.22655,73100.0,50.95,50.3,1.8,10.0,0.7,155.0,북창원,Bukchangwon,11H20301,4812311100,----,
257,129.02009,35.30737,73100.0,6.29,16.1,1.8,10.0,0.6,152.0,양산시,Yangsansi,11H20102,4833031027,----,
258,127.21226,34.76335,56710.0,1.41,4.3,1.5,10.0,0.6,168.0,보성군,Boseonggun,11F20404,4678038023,----,
259,126.78408,34.64457,56400.0,16.0,20.0,1.5,10.0,0.6,165.0,강진군,Gangjin,Gun,11F20303,4681025027,----
260,126.91951,34.68886,56200.0,43.99,46.3,1.5,10.0,0.8,165.0,장흥,Jangheung,11F20304,4680025043,----,
261,126.56907,34.55375,56300.0,16.36,17.91,1.5,10.0,0.8,165.0,해남,Haenam,11F20302,4682025034,----,
262,127.27572,34.61826,56400.0,51.91,53.31,1.5,10.0,0.8,168.0,고흥,Goheung,11F20403,4677025029,----,
263,128.28812,35.32258,75500.0,14.1,14.9,2.0,10.0,0.6,155.0,의령군,Uiryeonggun,11H20302,4872025024,----,
264,127.74538,35.51138,76700.0,152.07,152.5,1.8,10.0,0.6,155.0,함양군,Hamyanggun,11H20502,4887025022,----,
266,127.6914,34.9434,56600.0,88.21,87.9,1.7,10.0,0.6,156.0,광양시,Gwangyangsi,11F20402,4623010600,----,
268,126.25846,34.47296,56100.0,9.82,6.9,1.7,10.0,0.6,165.0,진도군,Jindogun,21F20201,4690025025,----,
271,128.91449,36.94361,72100.0,324.67,326.22,1.9,10.0,0.6,136.0,봉화,Bonghwa,11H10402,4792034021,----,
272,128.51687,36.87183,72200.0,211.32,212.78,1.91,10.0,0.58,136.0,영주,Yeongju,11H10401,4721025021,----,
273,128.14879,36.62727,72300.0,173.01,174.51,1.8,10.0,0.6,136.0,문경,Mungyeong,11H10301,4728010800,----,
276,129.04005,36.4351,72900.0,208.65,210.2,1.75,10.0,0.5,143.0,청송군,Cheongsonggun,11H10503,4775025000,----,
277,129.40926,36.53337,72400.0,40.71,42.01,1.7,10.0,0.6,138.0,영덕,Yeongdeok,11H10102,4777036030,----,
278,128.68864,36.3561,72500.0,81.44,82.94,1.7,10.0,0.6,143.0,의성,Uiseong,11H10502,4773025031,----,
279,128.32055,36.13055,72600.0,49.17,50.67,1.7,10.0,1.4,143.0,구미,Gumi,11H10602,4719010800,----,
281,128.9514,35.97742,72700.0,96.12,97.62,1.7,10.0,0.5,143.0,영천,Yeongcheon,11H10702,4723010200,----,
283,129.2009,35.8174,72800.0,40.13,41.63,1.67,10.0,0.59,138.0,경주시,Gyeongjusi,11H10202,4713011300,----,
284,127.9099,35.66739,76100.0,228.45,227.3,1.5,10.0,1.3,152.0,거창,Geochang,11H20502,4888025028,----,
285,128.16994,35.56505,76200.0,26.72,33.2,1.5,10.0,0.5,152.0,합천,Hapcheon,11H20503,4889025021,----,
288,128.74412,35.49147,76300.0,8.31,12.5,2.0,10.0,1.3,152.0,밀양,Miryang,11H20601,4827010200,----,
289,127.8791,35.413,76400.0,138.22,138.8,1.6,10.0,0.6,155.0,산청,Sancheong,11H20703,4886025023,----,
294,128.60459,34.88818,76500.0,44.83,46.7,1.7,10.0,0.6,159.0,거제,Geoje,11H20403,4831010800,----,
295,127.92641,34.81662,76600.0,45.71,47.01,1.8,10.0,0.8,159.0,남해,Namhae,11H20405,4884031021,----,
